"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"49","LOGISTIC PLUS - DIEGO","MARTHA D LA G","2675988","CONTECON","38AV7C","1/6/2022","6:00","40 HC/ 4120 KG","CCLU7326270","22-16-1798-2002069","PLASTIC OMNIUM","MANZANILLO","LEON","PABLO","38AV7C","642","7PM CIMA RUBEN","ENTREGADO","03/06/2022","S021","","","","","","","","","","","","","","","",""
"50","LOGISTIC PLUS - DIEGO","MARTHA D LA G","2675970","CONTECON","23AK6E","1/6/2022","8:00","40 HC/ 3803 KG/ 3716 KG","OOCU7707790/OOLU6824885","22-16-1798-2002069","PLASTIC OMNIUM","MANZANILLO","LEON","TOÑO-PABLO","19AT6G-38AV7C","640-641","CIMA","ENTREGADO","02/06/2022","S 019/ 020","","","","","","","","","","","","","","","",""
"51","REAL SHIPPING - MONI","JOFFROY","3424180","FRIGORIFICO","FE7622A","3/6/2022","10:00","1299 KG","CARGA SUELTA","22-16-3714-2000139","DEMATIC","MANZANILLO","MONTERREY","ALBERTO SOMERA","FE7622A","CTA TERCEROS 643","------","ENTREGADO","06/06/2022","S 022","","","","","","","","","","","","","","","",""
"52","LOGISTIC PLUS - DIEGO","UNITRADE","4602203","SSA","19AT6G","3/6/2022","4:00","20 DC/ 9752 KG","UACU3483105","22-16-3451-2005002","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","646","SSA","ENTREGADO","06/07/2022","S 023","","","","","","","","","","","","","","","",""
"53","REAL SHIPPING - MONI","JOFFROY","3426111","OCUPA","07AX1Y","4/6/2022","8:00","8561 KG","CARGA SUELTA","22-16-3714-2000134","DEMATIC","MANZANILLO","MONTERREY","JORGE","07AX1Y","645","------","ENTREGADO","06/06/2022","S 024","","","","","","","","","","","","","","","",""
"54","LOGISTIC PLUS - DIEGO","UNITRADE","550218B","TIMSA","02AL2W","6/6/2022","13:00","2841 KG","CARGA SUELTA","22-16-3451-2005236","DAIKIN","MANZANILLO","SAN LUIS POTOSI","MARTIN LOZA","02AL2W","CTA TERCEROS 644","------","ENTREGADO","07/07/2022","I 181","","","","","","","","","","","","","","","",""
"55","LOGISTIC PLUS - CYNTHIA","SEGROVE","525349V","TIMSA","38AV7C","7/6/2022","13:00","40 DC/  20,876 KG","CCLU5290080","22-16-3910-2004063","CARRIER","MANZANILLO","MONTERREY","PABLO","38AV7C","656","CIMA","ENTREGADO","15/06/2022","S 034","","","","","","","","","","","","","","","",""
"56","LOGISTIC PLUS - DIEGO","DEL GOLFO","4607294","SSA","19AT6G","7/6/2022","12:00","40 HC/ 4194 KG","MIEU3041645","22-16-1798-2002155","PLASTIC OMNIUM","MANZANILLO","LEON","PABLO","38AV7C","650","ALSECONT","ENTREGADO","09/06/2022","S 028","","","","","","","","","","","","","","","",""
"57","LOGISTIC PLUS- DIEGO","DEL GOLFO","1446834","SSA","64AK5A","7/6/2022","9:00","40 HC-3353KG /40 HC-3200KG","MRSU4637884/HASU4922433","22-16-1798-2002154","PLASTIC OMNIUM","MANZANILLO","LEON","FIDEL","64AK5A","648","ALSECONT","ENTREGADO","08/06/2022","S 025","","","","","","","","","","","","","","","",""
"58","LOGISTIC PLUS- DIEGO","UNITRADE","4607735","SSA","38AV7C","7/6/2022","6:00","40 HC/ 12,737 KG","TCNU9086274","22-16-3451-2005233","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","647","CIMA","ENTREGADO","08/06/2022","S 027","","","","","","","","","","","","","","","",""
